status,uri,time
200,/bump,0.0226
200,/bump,0.0241
200,/bump,0.0287
200,/bump,0.0308
200,/bump,0.0336
200,/bump,0.0369
200,/bump,0.0378
200,/bump,0.0472
200,/bump,0.0554
200,/bump,0.0665
200,/bump,0.0670
200,/buy,0.0172
200,/buy,0.0242
200,/buy,0.0666
200,/buy,1.5866
200,/buy,1.5884
200,/buy,1.5980
200,/buy,1.6125
200,/buy,1.6197
200,/buy,1.6234
200,/buy,1.6396
200,/buy,1.6478
200,/buy,1.6624
200,/complete,0.0221
200,/complete,0.0316
200,/complete,0.0319
200,/complete,0.8036
200,/complete,0.8188
200,/complete,0.8209
200,/complete,0.8287
200,/complete,0.8329
200,/complete,0.8745
200,/initialize,8.0118
200,/items/000,0.0333
200,/items/000,0.0197
200,/items/000,0.0319
200,/items/000,0.0176
200,/items/000,0.0215
200,/items/000,0.0269
200,/items/000,0.0447
200,/items/000,0.0193
200,/items/000,0.0050
200,/items/000,0.0180
200,/items/000,0.0354
200,/items/000,0.0224
200,/items/000,0.0225
200,/items/000,0.0258
200,/items/000,0.0696
200,/items/000,0.0253
200,/items/000,0.0471
200,/items/000,0.0086
200,/items/000,0.0255
200,/items/000,0.0239
200,/items/000,0.0260
200,/items/000,0.0194
200,/items/000,0.0596
200,/items/000,0.0194
200,/items/000,0.0099
200,/items/000,0.0119
200,/items/000,0.0255
200,/items/000,0.0604
200,/items/000,0.0460
200,/items/000,0.0456
200,/items/000,0.0349
200,/items/000,0.0433
200,/items/000,0.0232
200,/items/000,0.0414
200,/items/000,0.0555
200,/items/000,0.0244
200,/items/000,0.0189
200,/items/000,0.0288
200,/items/000,0.0144
200,/items/000,0.0353
200,/items/000,0.0240
200,/items/000,0.0263
200,/items/000,0.0241
200,/items/000,0.0299
200,/items/000,0.0100
200,/items/000,0.0313
200,/items/000,0.0403
200,/items/000,0.0209
200,/items/000,0.0246
200,/items/000,0.0558
200,/items/000,0.0325
200,/items/000,0.0505
200,/items/000,0.0253
200,/items/000,0.0223
200,/items/000,0.0812
200,/items/000,0.0197
200,/items/000,0.0357
200,/items/000,0.0235
200,/items/000,0.1166
200,/items/000,0.0248
200,/items/000,0.0408
200,/items/000,0.0197
200,/items/000,0.0356
200,/items/000,0.0245
200,/items/000,0.0323
200,/items/000,0.0244
200,/items/000,0.0447
200,/items/000,0.0250
200,/items/000,0.0459
200,/items/000,0.0203
200,/items/000,0.0156
200,/items/000,0.0102
200,/items/000,0.0339
200,/items/000,0.0206
200,/items/000,0.0164
200,/items/000,0.0132
200,/items/000,0.0170
200,/items/000,0.0476
200,/items/000,0.0130
200,/items/000,0.0098
200,/items/000,0.0097
200,/items/000,0.0371
200,/items/000,0.0255
200,/items/000,0.0191
200,/items/000,0.0470
200,/items/000,0.0256
200,/items/000,0.0165
200,/items/000,0.0439
200,/items/000,0.0344
200,/items/000,0.0174
200,/items/000,0.0152
200,/items/000,0.0335
200,/items/000,0.0189
200,/items/000,0.0358
200,/items/000,0.0242
200,/items/000,0.0261
200,/items/000,0.0206
200,/items/000,0.0138
200,/items/000,0.0290
200,/items/000,0.0204
200,/items/000,0.0313
200,/items/000,0.0605
200,/items/000,0.0300
200,/items/000,0.0255
200,/items/000,0.0481
200,/items/000,0.0174
200,/items/000,0.0263
200,/items/000,0.0225
200,/items/000,0.1345
200,/items/000,0.0399
200,/items/000,0.0331
200,/items/000,0.0185
200,/items/000,0.0303
200,/items/000,0.0206
200,/items/000,0.0182
200,/items/000,0.0454
200,/items/000,0.0116
200,/items/000,0.0341
200,/items/000,0.0570
200,/items/000,0.0228
200,/items/000,0.0192
200,/items/000,0.0302
200,/items/000,0.0278
200,/items/000,0.0213
200,/items/000,0.0466
200,/items/000,0.0092
200,/items/000,0.0255
200,/items/000,0.0237
200,/items/000,0.0127
200,/items/000,0.0201
200,/items/000,0.0335
200,/items/000,0.0490
200,/items/000,0.0178
200,/items/000,0.0308
200,/items/000,0.0195
200,/items/000,0.0537
200,/items/000,0.0579
200,/items/000,0.0296
200,/items/000,0.0798
200,/items/000,0.0307
200,/items/000,0.0235
200,/items/000,0.0372
200,/items/000,0.0212
200,/items/000,0.0403
200,/items/000,0.0330
200,/items/000,0.0199
200,/items/000,0.0313
200,/items/000,0.0206
200,/items/000,0.0255
200,/items/000,0.0243
200,/items/000,0.0318
200,/items/000,0.0232
200,/items/000,0.0258
200,/items/000,0.0294
200,/items/000,0.0187
200,/items/000,0.0287
200,/items/000,0.0257
200,/items/000,0.0207
200,/items/000,0.0319
200,/items/000,0.0290
200,/items/000,0.0232
200,/items/000,0.0371
200,/items/000,0.0459
200,/items/000,0.0274
200,/items/000,0.0327
200,/items/000,0.0112
200,/items/000,0.0236
200,/items/000,0.0408
200,/items/000,0.0411
200,/items/000,0.0183
200,/items/000,0.0246
200,/items/000,0.0220
200,/items/000,0.0463
200,/items/000,0.0257
200,/items/000,0.0191
200,/items/000,0.0259
200,/items/000,0.0199
200,/items/000,0.0243
200,/items/000,0.0161
200,/items/000,0.0168
200,/items/000,0.0212
200,/items/000,0.0150
200,/items/000,0.0392
200,/items/000,0.0248
200,/items/000,0.0208
200,/items/000,0.0359
200,/items/000,0.0197
200,/items/000,0.0272
200,/items/000,0.0448
200,/items/000,0.0400
200,/items/000,0.0282
200,/items/000,0.0205
200,/items/000,0.0164
200,/items/000,0.0316
200,/items/000,0.0208
200,/items/000,0.0448
200,/items/000,0.0272
200,/items/000,0.0190
200,/items/000,0.0255
200,/items/000,0.0103
200,/items/000,0.0287
200,/items/000,0.0288
200,/items/000,0.0211
200,/items/000,0.0400
200,/items/000,0.0497
200,/items/000,0.0301
200,/items/000,0.0331
200,/items/000,0.0356
200,/items/000,0.0263
200,/items/000,0.0219
200,/items/000,0.0451
200,/items/000,0.0303
200,/items/000,0.0175
200,/items/000,0.0130
200,/items/000,0.0232
200,/items/000,0.0120
200,/items/000,0.0337
200,/items/000,0.0312
200,/items/000,0.0226
200,/items/000,0.0154
200,/items/000,0.0336
200,/items/000,0.0312
200,/items/000,0.0205
200,/items/000,0.0255
200,/items/000,0.0409
200,/items/000,0.0272
200,/items/000,0.0317
200,/items/000,0.0557
200,/items/000,0.0170
200,/items/000,0.0205
200,/items/000,0.0732
200,/items/000,0.0214
200,/items/000,0.0637
200,/items/000,0.0592
200,/items/000,0.0224
200,/items/000,0.0229
200,/items/000,0.0239
200,/items/000,0.0530
200,/items/000,0.0164
200,/items/000,0.0177
200,/items/000,0.0185
200,/items/000,0.0244
200,/items/000,0.0085
200,/items/000,0.0245
200,/items/000,0.0295
200,/items/000,0.0371
200,/items/000,0.0195
200,/items/000,0.0436
200,/items/000,0.0239
200,/items/000,0.0172
200,/items/000,0.0585
200,/items/000,0.0133
200,/items/000,0.0187
200,/items/000,0.0221
200,/items/000,0.0221
200,/items/000,0.0460
200,/items/000,0.0433
200,/items/000,0.0188
200,/items/000,0.0184
200,/items/000,0.0184
200,/items/000,0.0175
200,/items/000,0.0104
200,/items/000,0.0123
200,/items/000,0.0231
200,/items/000,0.0331
200,/items/000,0.0181
200,/items/000,0.0111
200,/items/000,0.0227
200,/items/000,0.0278
200,/items/000,0.0200
200,/items/000,0.0276
200,/items/000,0.0222
200,/items/000,0.0190
200,/items/000,0.0314
200,/items/000,0.0485
200,/items/000,0.0162
200,/items/000,0.0404
200,/items/000,0.0369
200,/items/000,0.0162
200,/items/000,0.0534
200,/items/000,0.0266
200,/items/000,0.0226
200,/items/000,0.0286
200,/items/000,0.0314
200,/items/000,0.0248
200,/items/000,0.0294
200,/items/000,0.0192
200,/items/000,0.0236
200,/items/000,0.0206
200,/items/000,0.0230
200,/items/000,0.0227
200,/items/000,0.0301
200,/items/000,0.0328
200,/items/000,0.0327
200,/items/000,0.0144
200,/items/000,0.0260
200,/items/000,0.0357
200,/items/000,0.0658
200,/items/000,0.0249
200,/items/000,0.0168
200,/items/000,0.0179
200,/items/000,0.0400
200,/items/000,0.0189
200,/items/000,0.0400
200,/items/000,0.0259
200,/items/000,0.0246
200,/items/000,0.0310
200,/items/000,0.0224
200,/items/000,0.0172
200,/items/000,0.0139
200,/items/000,0.0588
200,/items/000,0.0193
200,/items/000,0.0280
200,/items/000,0.0194
200,/items/000,0.0211
200,/items/000,0.0441
200,/items/000,0.0307
200,/items/000,0.0235
200,/items/000,0.0461
200,/items/000,0.0450
200,/items/000,0.0318
200,/items/000,0.0355
200,/items/000,0.0195
200,/items/000,0.0263
200,/items/000,0.0218
200,/items/000,0.0362
200,/items/000,0.0209
200,/items/000,0.0597
200,/items/000,0.0402
200,/items/000,0.0333
200,/items/000,0.0248
200,/items/000,0.0248
200,/items/000,0.0730
200,/items/000,0.0254
200,/items/000,0.0194
200,/items/000,0.0318
200,/items/000,0.1468
200,/items/000,0.0233
200,/items/000,0.0320
200,/items/000,0.0200
200,/items/000,0.0214
200,/items/000,0.0242
200,/items/000,0.0251
200,/items/000,0.0673
200,/items/000,0.0192
200,/items/000,0.1392
200,/items/000,0.0188
200,/items/000,0.0288
200,/items/000,0.0124
200,/items/000,0.0230
200,/items/000,0.0212
200,/items/000,0.0275
200,/items/000,0.0189
200,/items/000,0.0528
200,/items/000,0.0096
200,/items/000,0.0128
200,/items/000,0.0326
200,/items/000,0.0224
200,/items/000,0.0251
200,/items/000,0.0665
